
[host1.local] [30.01.2013 1:58:36] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)] 
[host1.local] [30.01.2013 1:58:36] [status (error/ info)] [192.168.0.13] [GET] [/favicon.ico] [200] [Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)] 
[host1.local] [30.01.2013 1:59:49] [status (error/ info)] [192.168.0.10] [GET] [/] [200] [Opera/9.80 (Windows NT 6.1; U; Edition Campaign 21; pl) Presto/2.10.229 Version/11.61] 
[host1.local] [30.01.2013 1:59:50] [status (error/ info)] [192.168.0.10] [GET] [/favicon.ico] [200] [Opera/9.80 (Windows NT 6.1; U; Edition Campaign 21; pl) Presto/2.10.229 Version/11.61] 
[host1.local] [30.01.2013 3:5:19] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 3:5:21] [status (error/ info)] [192.168.0.13] [GET] [/gdansk.html] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 3:5:55] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 3:5:57] [status (error/ info)] [192.168.0.13] [GET] [/gdansk] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 3:10:4] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 3:10:6] [status (error/ info)] [192.168.0.13] [GET] [/gdansk] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 3:10:29] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 3:11:4] [status (error/ info)] [192.168.0.13] [GET] [/] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 3:11:6] [status (error/ info)] [192.168.0.13] [GET] [/gdansk] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 3:11:8] [status (error/ info)] [192.168.0.13] [GET] [/sopot] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
[host1.local] [30.01.2013 3:11:10] [status (error/ info)] [192.168.0.13] [GET] [/gdynia] [200] [Mozilla/5.0 (Windows NT 6.1; WOW64; rv:18.0) Gecko/20100101 Firefox/18.0] 
